price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price
48 864 kr/m²,2 275 000 kr,-125 000 kr (-5 %),Parhus,Bostadsrätt,2 rum,44 m²,N/A,N/A,N/A,2016,7 170 kr/år,Ja,N/A,"Parhus - Ekerö, Ekerö kommun - Såld 02 januari 2024",Stockholm,2 150 000 kr
48 031 kr/m²,6 995 000 kr,-895 000 kr (-13 %),Parhus,Bostadsrätt,5 rum,127 m²,8 m²,N/A,N/A,2011,18 420 kr/år,Ja,N/A,"Parhus - Resarö, Vaxholms kommun - Såld 29 december 2023",Stockholm,6 100 000 kr
N/A,3 795 000 kr,-295 000 kr (-8 %),Radhus,Äganderätt,5 rum,162 m²,12 m²,N/A,207 m²,1980,51 550 kr/år,N/A,N/A,"Radhus - Norrtälje stad - Centralt, Norrtälje kommun - Såld 29 december 2023",Stockholm,3 500 000 kr
N/A,4 195 000 kr,-45 000 kr (-1 %),Radhus,Äganderätt,6 rum,127 m²,N/A,Ja,195 m²,1974,54 000 kr/år,Ja,N/A,"Radhus - Vällingby - Kälvesta, Stockholms kommun - Såld 29 december 2023",Stockholm,4 150 000 kr
58 777 kr/m²,5 700 000 kr,-175 000 kr (-3 %),Radhus,Bostadsrätt,5 rum,94 m²,N/A,N/A,N/A,2013,10 956 kr/år,Ja,N/A,"Radhus - Gustavsberg - Höjdhagen, Värmdö kommun - Såld 29 december 2023",Stockholm,5 525 000 kr
N/A,4 995 000 kr,-45 000 kr (-1 %),Kedjehus,Äganderätt,5 rum,126 m²,N/A,N/A,285 m²,2003,55 064 kr/år,N/A,N/A,"Kedjehus - Sigtuna - Pilsbo, Sigtuna kommun - Såld 28 december 2023",Stockholm,4 950 000 kr
25 743 kr/m²,2 695 000 kr,-95 000 kr (-4 %),Radhus,Bostadsrätt,4 rum,101 m²,N/A,N/A,N/A,2022,36 575 kr/år,Ja,N/A,"Radhus - Steninge Slottsby, Sigtuna kommun - Såld 28 december 2023",Stockholm,2 600 000 kr
46 429 kr/m²,6 995 000 kr,-495 000 kr (-7 %),Parhus,Bostadsrätt,6 rum,140 m²,N/A,N/A,N/A,2017,24 000 kr/år,Ja,N/A,"Parhus - Källvägsområdet, Nacka kommun - Såld 28 december 2023",Stockholm,6 500 000 kr
N/A,4 290 000 kr,-290 000 kr (-7 %),Radhus,Äganderätt,5 rum,157 m²,N/A,N/A,220 m²,1979,35 347 kr/år,N/A,N/A,"Radhus - Viksjö, Järfälla kommun - Såld 28 december 2023",Stockholm,4 000 000 kr
39 801 kr/m²,2 495 000 kr,-95 000 kr (-4 %),Parhus,Bostadsrätt,2 rum,"60,3 m²",N/A,N/A,N/A,1986,13 508 kr/år,Ja,N/A,"Parhus - Färingsö, Svartsjö, Ekerö kommun - Såld 27 december 2023",Stockholm,2 400 000 kr
