typeProperty,typeOfForm,rooms,size_x100,bisize_x100,balkong,tomtarea_x10000,buildArea,uteplats,floor,type,distance_from_city_center,price_evolution_numbers_per_million,asking_price_per_million,cost_per_year_x1000,price_per_m2_x10000,elevator
8,5,4.0,0.51,0.33,1,0.2648,1.948,0,0.0,2,82.35376264033295,-0.1,2.65,42.0,3.1547619047619047,0.0
1,2,2.0,0.3,0.0,1,0.0,0.0,0,0.0,1,3.355186904519856,0.035,1.295,0.0,4.316666666666666,0.0
8,5,6.0,1.1,0.54,1,0.1078,1.957,0,0.0,2,24.474510279916924,0.565,6.195,42.518,3.777439024390244,0.0
8,5,6.0,1.2,0.0,1,0.0403,1.973,0,0.0,2,24.474510279916924,0.165,2.795,47.152,2.3291666666666666,0.0
8,5,4.0,1.3,0.28,1,0.0789,1.969,1,0.0,2,38.26547660867005,-0.1,4.0,21.128,2.531645569620253,0.0
8,5,5.0,1.28,0.15,1,0.0597,1.946,0,0.0,2,30.417058170830018,-0.3,9.5,44.9,6.643356643356643,0.0
0,5,1.0,0.4,0.0,1,0.1958,1.95,0,0.0,1,13.100818376584431,-0.01,0.65,0.0,1.625,0.0
8,4,5.0,0.84,0.62,1,0.0508,1.93,0,0.0,2,23.72300034243247,-0.5,9.5,59.711,6.506849315068493,0.0
8,5,6.0,0.68,0.68,1,0.0444,1.943,1,0.0,2,50.348596623116926,-0.65,7.5,39.64,5.514705882352941,0.0
9,5,6.0,1.1,0.3,1,0.1971,2.002,0,0.0,1,59.37033884818055,0.275,2.875,34.4,2.053571428571429,0.0
4,2,3.0,0.765,0.0,1,0.0,2.004,0,0.5714285714285714,3,17.80494985534767,-0.16,5.995,8.8,7.836601307189543,1.0
9,5,0.0,0.74,0.0,1,0.208,1.976,0,0.0,1,5.567391704921766,-0.2,1.95,14.86,2.635135135135135,0.0
1,5,3.0,0.75,0.0,1,0.248,1.909,0,0.0,1,2.947330508127457,-0.395,1.495,28.465,1.9933333333333327,0.0
7,2,6.0,1.31,0.24,1,0.0,2.015,1,0.0,0,13.364645512130709,-0.05,6.5,17.196,4.193548387096774,0.0
7,2,6.0,1.22,0.43,1,0.0,1.92,1,0.0,0,5.692308373863161,0.5,13.5,27.564,8.181818181818182,0.0
7,2,4.0,1.27,0.0,1,0.0,2.016,0,0.0,0,27.1877795733545,-0.05,3.75,0.9,2.9527559055118107,0.0
4,2,3.0,0.76,0.0,0,0.0,0.0,1,0.0,3,15.814198730656669,-0.12,2.095,4.8,2.756578947368421,0.0
0,5,2.0,0.44,0.2,1,0.2332,1.91,0,0.0,1,15.215485132794386,-0.095,1.295,10.938,2.0234375,0.0
8,5,5.0,1.25,0.15,1,0.0613,1.966,0,0.0,2,86.20179966780029,1.155,3.995,48.34,2.8535714285714286,0.0
3,4,5.0,1.29,0.0,1,0.0299,1.974,0,0.0,0,22.22375660130049,-0.35,4.15,26.22,3.217054263565892,0.0
8,5,9.0,2.49,0.4,1,0.1121,1.953,0,0.0,2,86.67772933176269,-0.3,15.2,61.868,5.259515570934256,0.0
4,2,1.0,0.36,0.0,0,0.0,1.93,0,0.75,3,36.81340877153815,0.075,3.275,3.6,9.09722222222222,1.0
7,2,4.0,0.76,0.0,1,0.0,2.016,1,0.0,0,22.698994874536552,0.455,2.995,14.056,3.9407894736842106,0.0
8,5,5.0,1.4,0.27,1,0.0888,1.937,0,0.0,2,43.456409988457374,0.605,8.795,25.759,5.266467065868263,0.0
7,2,5.0,1.01,0.0,1,0.0,1.951,1,0.0,0,11.033249551434611,-0.5,6.8,0.0,6.732673267326732,0.0
6,5,2.0,0.48,0.0,1,0.0144,1.975,0,0.0,0,13.100818376584431,0.385,2.495,41.2,5.197916666666666,0.0
4,2,4.0,0.83,0.0,1,0.0,1.958,0,0.6666666666666666,3,21.22329334595104,0.505,3.695,3.24,4.451807228915663,0.0
4,2,1.0,0.32,0.0,0,0.0,1.96,0,4.0,3,37.52648843527928,0.055,1.195,4.56,3.734375,0.0
