,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
3200,5 500 000 kr,+100 000 kr (+2 %),Lägenhet,Bostadsrätt,2 rum,37 m²,,,,1925,5 300 kr/år,,"1 av 5, hiss finns","Lägenhet - Östermalm, Stockholms kommun - Såld 29 november 2023",Stockholm,5 600 000 kr,bostadsratt,"Östermalm, Stockholms kommun", 29 november 2023,1.5439067402087117
3201,3 895 000 kr,+305 000 kr (+8 %),Lägenhet,Bostadsrätt,2 rum,40 m²,,Ja,,1934,,,,"Lägenhet - Kungsholmen, Stockholms kommun - Såld 29 november 2023",Stockholm,4 200 000 kr,bostadsratt,"Kungsholmen, Stockholms kommun", 29 november 2023,2.824587541487726
3202,2 475 000 kr,+360 000 kr (+15 %),Lägenhet,Bostadsrätt,2 rum,60 m²,,Ja,,2015,8 000 kr/år,,"3 av 5, hiss finns","Lägenhet - Farsta, Stockholms kommun - Såld 29 november 2023",Stockholm,2 835 000 kr,bostadsratt,"Farsta, Stockholms kommun", 29 november 2023,8.940762407424922
3203,2 395 000 kr,+15 000 kr (+1 %),Lägenhet,Bostadsrätt,1 rum,25 m²,,Nej,,1930,3 600 kr/år,,"0,5 av 3, hiss finns ej","Lägenhet - Södermalm - Skanstull, Stockholms kommun - Såld 29 november 2023",Stockholm,2 410 000 kr,bostadsratt,"Skanstull, Stockholms kommun", 29 november 2023,1.8498563887505406
3204,4 395 000 kr,+235 000 kr (+5 %),Lägenhet,Bostadsrätt,2 rum,39 m²,,Nej,,1904,9 100 kr/år,,"1,5 av 6, hiss finns","Lägenhet - Vasastan, Stockholms kommun - Såld 29 november 2023",Stockholm,4 630 000 kr,bostadsratt,"Vasastan, Stockholms kommun", 29 november 2023,2.2043110243018877
3205,3 695 000 kr,+405 000 kr (+11 %),Lägenhet,Bostadsrätt,3 rum,"75,5 m²",,Ja,,1954,7 040 kr/år,,"2 av 3, hiss finns ej","Lägenhet - Bergshamra, Solna kommun - Såld 29 november 2023",Stockholm,4 100 000 kr,bostadsratt,"Bergshamra, Solna kommun", 29 november 2023,6.4820602126159494
3206,8 395 000 kr,+905 000 kr (+11 %),Lägenhet,Bostadsrätt,3 rum,81 m²,,,,1921,7 200 kr/år,,"1,5, hiss finns","Lägenhet - Vasastan, Stockholms kommun - Såld 29 november 2023",Stockholm,9 300 000 kr,bostadsratt,"Vasastan, Stockholms kommun", 29 november 2023,2.2043110243018877
3207,4 950 000 kr,+50 000 kr (+1 %),Lägenhet,Bostadsrätt,"2,5 rum",65 m²,,Ja,,1981,3 750 kr/år,,"5 av 6, hiss finns","Lägenhet - Maria, Stockholms kommun - Såld 29 november 2023",Stockholm,5 000 000 kr,bostadsratt,"Maria, Stockholms kommun", 29 november 2023,0.0
3208,2 395 000 kr,+55 000 kr (+2 %),Lägenhet,Bostadsrätt,2 rum,66 m²,,Ja,,2011,,,"4 av 4, hiss finns","Lägenhet - Bällstaberg, Vallentuna kommun - Såld 29 november 2023",Stockholm,2 450 000 kr,bostadsratt,"Bällstaberg, Vallentuna kommun", 29 november 2023,20.908008437606163
3209,8 250 000 kr,+750 000 kr (+9 %),Lägenhet,Bostadsrätt,3 rum,78 m²,,Ja,,,5 640 kr/år,,"3 av 4, hiss finns","Lägenhet - Vasastan, Stockholms kommun - Såld 29 november 2023",Stockholm,9 000 000 kr,bostadsratt,"Vasastan, Stockholms kommun", 29 november 2023,2.2043110243018877
