price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price
N/A,2 995 000 kr,-245 000 kr (-8 %),Fritidshus,Äganderätt,3 rum,52 m²,8 m²,N/A,2 130 m²,1964,14 045 kr/år,N/A,N/A,"Fritidshus - Norra Kopparmora, Värmdö kommun - Såld 29 december 2023",Stockholm,2 750 000 kr
N/A,1 695 000 kr,-195 000 kr (-12 %),Fritidshus,Äganderätt,3 rum,60 m²,N/A,N/A,3 390 m²,1952,31 000 kr/år,N/A,N/A,"Fritidshus - Grödinge, Botkyrka kommun - Såld 28 december 2023",Stockholm,1 500 000 kr
N/A,1 500 000 kr,-300 000 kr (-20 %),Vinterbonat fritidshus,Äganderätt,3 rum,84 m²,N/A,N/A,2 090 m²,1966,23 700 kr/år,N/A,N/A,"Vinterbonat fritidshus - Sättralund, Norrtälje kommun - Såld 28 december 2023",Stockholm,1 200 000 kr
N/A,1 450 000 kr,-330 000 kr (-23 %),Fritidshus,Äganderätt,2 rum,35 m²,N/A,N/A,1 690 m²,1958,6 900 kr/år,N/A,N/A,"Fritidshus - Långvreten, Upplands-Bro kommun - Såld 21 december 2023",Stockholm,1 120 000 kr
N/A,2 395 000 kr,-95 000 kr (-4 %),Vinterbonat fritidshus,Äganderätt,2 rum,45 m²,7 m²,N/A,920 m²,1910,32 034 kr/år,N/A,N/A,"Vinterbonat fritidshus - Rådmansö - Södersvik, Norrtälje kommun - Såld 19 december 2023",Stockholm,2 300 000 kr
N/A,1 495 000 kr,-245 000 kr (-16 %),Fritidshus,Äganderätt,2 rum,35 m²,N/A,N/A,7 731 m²,1953,5 653 kr/år,N/A,N/A,"Fritidshus - Stångarö, Nykvarns kommun - Såld 16 december 2023",Stockholm,1 250 000 kr
N/A,7 000 000 kr,-2 600 000 kr (-37 %),Fritidshus,Äganderätt,5 rum,137 m²,25 m²,N/A,5 600 m²,1909,2 000 kr/år,N/A,N/A,"Fritidshus - Runmarö, Värmdö kommun - Såld 14 december 2023",Stockholm,4 400 000 kr
N/A,5 995 000 kr,-495 000 kr (-8 %),Vinterbonat fritidshus,Äganderätt,4 rum,110 m²,35 m²,N/A,5 103 m²,1954,4 200 kr/år,N/A,N/A,"Vinterbonat fritidshus - Ängsvik, Värmdö kommun - Såld 13 december 2023",Stockholm,5 500 000 kr
N/A,2 350 000 kr,-275 000 kr (-12 %),Fritidshus,Äganderätt,3 rum,66 m²,N/A,N/A,2 070 m²,1977,10 890 kr/år,N/A,N/A,"Fritidshus - Hammarskogen, Norrtälje kommun - Såld 13 december 2023",Stockholm,2 075 000 kr
N/A,3 495 000 kr,-295 000 kr (-8 %),Vinterbonat fritidshus,Äganderätt,4 rum,85 m²,N/A,N/A,2 184 m²,2023,N/A,Ja,N/A,"Vinterbonat fritidshus - Rådmansö - Västanvik, Norrtälje kommun - Såld 08 december 2023",Stockholm,3 200 000 kr
N/A,5 500 000 kr,-300 000 kr (-5 %),Vinterbonat fritidshus,Äganderätt,3 rum,60 m²,12 m²,N/A,1 765 m²,1992,17 675 kr/år,N/A,N/A,"Vinterbonat fritidshus - Koludden, Norrtälje kommun - Såld 07 december 2023",Stockholm,5 200 000 kr
