price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price
22 727 kr/m²,1 395 000 kr,-145 000 kr (-10 %),Lägenhet,Bostadsrätt,2 rum,55 m²,N/A,Ja,N/A,1969,3 444 kr/år,N/A,N/A,"Lägenhet - Brandbergen, Haninge kommun - Såld 04 januari 2024",Stockholm,1 250 000 kr
47 143 kr/m²,2 050 000 kr,-70 000 kr (-3 %),Lägenhet,Bostadsrätt,2 rum,42 m²,N/A,Ja,N/A,2020,4 500 kr/år,N/A,"3, hiss finns","Lägenhet - Vega, Haninge kommun - Såld 04 januari 2024",Stockholm,1 980 000 kr
61 779 kr/m²,6 495 000 kr,-70 000 kr (-1 %),Lägenhet,Bostadsrätt,5 rum,104 m²,N/A,Ja,N/A,2022,N/A,N/A,"4 av 4, hiss finns","Lägenhet - Täby Park, Täby kommun - Såld 04 januari 2024",Stockholm,6 425 000 kr
36 702 kr/m²,3 750 000 kr,-300 000 kr (-8 %),Lägenhet,Bostadsrätt,4 rum,94 m²,N/A,Ja,N/A,1986,11 280 kr/år,N/A,"1 av 3, hiss finns","Lägenhet - Skarpnäck, Stockholms kommun - Såld 03 januari 2024",Stockholm,3 450 000 kr
67 117 kr/m²,7 795 000 kr,-345 000 kr (-4 %),Lägenhet,Bostadsrätt,4 rum,111 m²,N/A,Nej,N/A,2021,22 332 kr/år,Ja,N/A,"Lägenhet - Kummelnäs, Nacka kommun - Såld 03 januari 2024",Stockholm,7 450 000 kr
10 745 kr/m²,695 000 kr,-190 000 kr (-27 %),Lägenhet,Bostadsrätt,2 rum,47 m²,N/A,N/A,N/A,1975,3 600 kr/år,N/A,"3 av 3, hiss finns","Lägenhet - Hovsjö, Södertälje kommun - Såld 03 januari 2024",Stockholm,505 000 kr
47 750 kr/m²,5 200 000 kr,-425 000 kr (-8 %),Lägenhet,Bostadsrätt,4 rum,100 m²,N/A,Ja,N/A,N/A,N/A,N/A,"2, hiss finns","Lägenhet - Centrala Sollentuna, Sollentuna kommun - Såld 03 januari 2024",Stockholm,4 775 000 kr
32 670 kr/m²,2 990 000 kr,-115 000 kr (-4 %),Lägenhet,Bostadsrätt,4 rum,88 m²,N/A,Ja,N/A,2011,N/A,N/A,"5 av 6, hiss finns","Lägenhet - Kista Gård, Stockholms kommun - Såld 03 januari 2024",Stockholm,2 875 000 kr
34 559 kr/m²,2 495 000 kr,-145 000 kr (-6 %),Lägenhet,Bostadsrätt,3 rum,68 m²,N/A,Ja,N/A,2019,N/A,N/A,"6 av 12, hiss finns","Lägenhet - Vårsta, Botkyrka kommun - Såld 02 januari 2024",Stockholm,2 350 000 kr
19 390 kr/m²,850 000 kr,-55 000 kr (-6 %),Lägenhet,Bostadsrätt,1 rum,41 m²,N/A,Nej,N/A,1970,5 946 kr/år,N/A,"3 av 3, hiss finns ej","Lägenhet - Kullsta, Nynäshamns kommun - Såld 02 januari 2024",Stockholm,795 000 kr
23 981 kr/m²,1 395 000 kr,-100 000 kr (-7 %),Lägenhet,Bostadsrätt,2 rum,54 m²,N/A,Nej,N/A,1985,22 128 kr/år,Ja,N/A,"Lägenhet - Tumba, Botkyrka kommun - Såld 02 januari 2024",Stockholm,1 295 000 kr
92 405 kr/m²,3 695 000 kr,-45 000 kr (-1 %),Lägenhet,Bostadsrätt,2 rum,"39,5 m²",N/A,Nej,N/A,1963,N/A,N/A,"4 av 9, hiss finns","Lägenhet - Kungsholmen Marieberg, Stockholms kommun - Såld 02 januari 2024",Stockholm,3 650 000 kr
72 320 kr/m²,4 750 000 kr,-230 000 kr (-5 %),Lägenhet,Bostadsrätt,3 rum,"62,5 m²",N/A,Ja,N/A,N/A,19 799 kr/år,N/A,"3, hiss finns","Lägenhet - Maria, Stockholms kommun - Såld 02 januari 2024",Stockholm,4 520 000 kr
59 254 kr/m²,3 995 000 kr,-25 000 kr (-1 %),Lägenhet,Bostadsrätt,"2,5 rum",67 m²,N/A,Ja,N/A,N/A,4 200 kr/år,N/A,"2 av 7, hiss finns","Lägenhet - Gärdet, Stockholms kommun - Såld 02 januari 2024",Stockholm,3 970 000 kr
24 795 kr/m²,1 995 000 kr,-185 000 kr (-9 %),Lägenhet,Bostadsrätt,3 rum,73 m²,N/A,Ja,N/A,1969,6 360 kr/år,N/A,"2 av 3, hiss finns","Lägenhet - Centralt, Upplands Väsby kommun - Såld 02 januari 2024",Stockholm,1 810 000 kr
38 889 kr/m²,1 895 000 kr,-145 000 kr (-8 %),Lägenhet,Bostadsrätt,2 rum,45 m²,N/A,Ja,N/A,2018,N/A,N/A,"2 av 4, hiss finns","Lägenhet - Kallhäll, Järfälla kommun - Såld 02 januari 2024",Stockholm,1 750 000 kr
57 317 kr/m²,2 495 000 kr,-145 000 kr (-6 %),Lägenhet,Bostadsrätt,2 rum,41 m²,N/A,Ja,N/A,1946,6 372 kr/år,N/A,1 av 3,"Lägenhet - Hägerstensåsen, Stockholms kommun - Såld 02 januari 2024",Stockholm,2 350 000 kr
47 727 kr/m²,2 195 000 kr,-95 000 kr (-4 %),Lägenhet,Bostadsrätt,2 rum,44 m²,N/A,N/A,N/A,2019-2020,4 800 kr/år,N/A,"6 av 6, hiss finns","Lägenhet - Kungsängen centrum, Upplands-Bro kommun - Såld 02 januari 2024",Stockholm,2 100 000 kr
24 026 kr/m²,1 895 000 kr,-45 000 kr (-2 %),Lägenhet,Bostadsrätt,3 rum,77 m²,N/A,Ja,N/A,1969,6 600 kr/år,N/A,"3, hiss finns ej","Lägenhet - Haninge Vendelsö/Handen, Haninge kommun - Såld 02 januari 2024",Stockholm,1 850 000 kr
77 536 kr/m²,5 695 000 kr,-345 000 kr (-6 %),Lägenhet,Bostadsrätt,"2,5 rum",69 m²,N/A,Nej,N/A,1982,8 400 kr/år,Ja,N/A,"Lägenhet - Södermalm - Mariaberget, Stockholms kommun - Såld 31 december 2023",Stockholm,5 350 000 kr
35 735 kr/m²,1 450 000 kr,-235 000 kr (-16 %),Lägenhet,Bostadsrätt,"1,5 rum",34 m²,N/A,Ja,N/A,2021,4 000 kr/år,N/A,"2, hiss finns","Lägenhet - Jakobsberg, Järfälla kommun - Såld 30 december 2023",Stockholm,1 215 000 kr
17 974 kr/m²,2 995 000 kr,-245 000 kr (-8 %),Lägenhet,Bostadsrätt,5 rum,153 m²,N/A,Ja,N/A,N/A,19 836 kr/år,Ja,N/A,"Lägenhet - Norra Nynäshamn, Nynäshamns kommun - Såld 30 december 2023",Stockholm,2 750 000 kr
26 212 kr/m²,2 095 000 kr,-95 000 kr (-5 %),Lägenhet,Bostadsrätt,3 rum,"76,3 m²",N/A,Ja,N/A,1961,8 400 kr/år,N/A,"1 av 8, hiss finns","Lägenhet - Kallhäll, Järfälla kommun - Såld 30 december 2023",Stockholm,2 000 000 kr
53 333 kr/m²,5 095 000 kr,-1 095 000 kr (-21 %),Lägenhet,Bostadsrätt,3 rum,75 m²,N/A,Ja,N/A,2020-2023,N/A,N/A,"12 av 13, hiss finns","Lägenhet - Bredäng., Stockholms kommun - Såld 30 december 2023",Stockholm,4 000 000 kr
49 000 kr/m²,3 295 000 kr,-110 000 kr (-3 %),Lägenhet,Bostadsrätt,3 rum,65 m²,N/A,Ja,N/A,2020,8 136 kr/år,N/A,"2, hiss finns","Lägenhet - Vikingshill, Nacka kommun - Såld 30 december 2023",Stockholm,3 185 000 kr
19 737 kr/m²,1 695 000 kr,-195 000 kr (-12 %),Lägenhet,Bostadsrätt,3 rum,76 m²,N/A,Ja,N/A,1970,N/A,N/A,"4 av 4, hiss finns","Lägenhet - Husby, Stockholms kommun - Såld 30 december 2023",Stockholm,1 500 000 kr
56 250 kr/m²,5 249 000 kr,-299 000 kr (-6 %),Lägenhet,Bostadsrätt,4 rum,88 m²,N/A,Ja,N/A,2020,7 000 kr/år,N/A,"4 av 7, hiss finns","Lägenhet - Roslags Näsby, Täby kommun - Såld 30 december 2023",Stockholm,4 950 000 kr
29 245 kr/m²,1 649 000 kr,-99 000 kr (-6 %),Lägenhet,Bostadsrätt,2 rum,53 m²,N/A,Ja,N/A,2013,N/A,N/A,"2 av 2, hiss finns ej","Lägenhet - Botkyrka-Norsborg, Botkyrka kommun - Såld 29 december 2023",Stockholm,1 550 000 kr
85 281 kr/m²,3 995 000 kr,-200 000 kr (-5 %),Lägenhet,Bostadsrätt,2 rum,"44,5 m²",N/A,N/A,N/A,N/A,9 400 kr/år,Ja,"2 av 12, hiss finns","Lägenhet - Hagastaden/Vasastan, Stockholms kommun - Såld 29 december 2023",Stockholm,3 795 000 kr
108 333 kr/m²,6 700 000 kr,-200 000 kr (-3 %),Lägenhet,Bostadsrätt,3 rum,60 m²,N/A,Nej,N/A,1880,5 400 kr/år,N/A,"0, hiss finns","Lägenhet - Östermalm, Stockholms kommun - Såld 29 december 2023",Stockholm,6 500 000 kr
86 869 kr/m²,9 000 000 kr,-400 000 kr (-4 %),Lägenhet,Bostadsrätt,4 rum,99 m²,N/A,Ja,N/A,N/A,7 572 kr/år,Ja,"3 av 3, hiss finns","Lägenhet - Vaxholm , Vaxholms kommun - Såld 29 december 2023",Stockholm,8 600 000 kr
47 788 kr/m²,2 895 000 kr,-195 000 kr (-7 %),Lägenhet,Bostadsrätt,2 rum,"56,5 m²",N/A,Nej,N/A,1961,N/A,N/A,"1 av 2, hiss finns ej","Lägenhet - Näset, Lidingö kommun - Såld 29 december 2023",Stockholm,2 700 000 kr
