price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price
N/A,4 195 000 kr,-95 000 kr (-2 %),Villa,Äganderätt,4 rum,68 m²,68 m²,N/A,1 042 m²,1937,10 766 kr/år,N/A,N/A,"Villa - Odenslunda, Upplands Väsby kommun - Såld 03 januari 2024",Stockholm,4 100 000 kr
N/A,13 990 000 kr,-240 000 kr (-2 %),Villa,Äganderätt,7 rum,159 m²,N/A,N/A,7 420 m²,1920,71 435 kr/år,N/A,N/A,"Villa - Skå, Ekerö kommun - Såld 03 januari 2024",Stockholm,13 750 000 kr
N/A,7 595 000 kr,-845 000 kr (-11 %),Villa,Äganderätt,6 rum,165 m²,94 m²,Ja,3 480 m²,1944,29 500 kr/år,Ja,N/A,"Villa - Tyresö Strand, Tyresö kommun - Såld 03 januari 2024",Stockholm,6 750 000 kr
N/A,13 500 000 kr,-800 000 kr (-6 %),Villa,Äganderätt,7 rum,190 m²,25 m²,N/A,2 215 m²,2019,19 167 kr/år,N/A,N/A,"Villa - Älgö, Nacka kommun - Såld 02 januari 2024",Stockholm,12 700 000 kr
N/A,7 495 000 kr,-745 000 kr (-10 %),Villa,Äganderätt,5 rum,165 m²,19 m²,N/A,"2,6 ha",1914,44 117 kr/år,N/A,N/A,"Villa - Hagalund, Vallentuna kommun - Såld 31 december 2023",Stockholm,6 750 000 kr
N/A,6 495 000 kr,-495 000 kr (-8 %),Villa,Äganderätt,7 rum,186 m²,24 m²,N/A,1 923 m²,1983,28 541 kr/år,N/A,N/A,"Villa - Roslags Kulla, Österåkers kommun - Såld 30 december 2023",Stockholm,6 000 000 kr
N/A,6 995 000 kr,-295 000 kr (-4 %),Villa,Äganderätt,6 rum,144 m²,N/A,N/A,752 m²,1997,66 329 kr/år,N/A,N/A,"Villa - Ingarö - Fågelvik, Värmdö kommun - Såld 29 december 2023",Stockholm,6 700 000 kr
N/A,6 995 000 kr,-120 000 kr (-2 %),Villa,Äganderätt,6 rum,136 m²,13 m²,N/A,1 279 m²,2012,38 562 kr/år,N/A,N/A,"Villa - Nyby, Vallentuna kommun - Såld 29 december 2023",Stockholm,6 875 000 kr
N/A,4 700 000 kr,-600 000 kr (-13 %),Villa,Äganderätt,4 rum,151 m²,13 m²,N/A,3 536 m²,1920,50 671 kr/år,N/A,N/A,"Villa - Rosersberg, Sigtuna kommun - Såld 29 december 2023",Stockholm,4 100 000 kr
N/A,1 500 000 kr,-300 000 kr (-20 %),Vinterbonat fritidshus,Äganderätt,3 rum,84 m²,N/A,N/A,2 090 m²,1966,23 700 kr/år,N/A,N/A,"Vinterbonat fritidshus - Sättralund, Norrtälje kommun - Såld 28 december 2023",Stockholm,1 200 000 kr
